,article_name,country,revision_id,article_quality_est.,population
276,Than Sina,Cambodia,671073599.0,Stub,15497000.0
277,Ieu Pannakar,Cambodia,712085445.0,Stub,15497000.0
278,Taing Sunlay,Cambodia,713507166.0,Stub,15497000.0
279,Dul Koeun,Cambodia,714524609.0,Stub,15497000.0
280,Ly Kim Leang,Cambodia,714524624.0,Stub,15497000.0
281,Chhor Leang Huot,Cambodia,714524714.0,Stub,15497000.0
282,Thak Lany,Cambodia,714524870.0,Stub,15497000.0
283,Sok San,Cambodia,714525029.0,Stub,15497000.0
284,Tep Ngorn,Cambodia,714528164.0,Stub,15497000.0
285,Chan Cheng,Cambodia,714528251.0,Stub,15497000.0
286,Nhim Vanda,Cambodia,714528803.0,Stub,15497000.0
287,Pen Panha,Cambodia,714528886.0,Stub,15497000.0
288,Sieng Nam,Cambodia,714529109.0,Stub,15497000.0
289,So Khun,Cambodia,714529370.0,Stub,15497000.0
290,Nou Sam,Cambodia,714529507.0,Stub,15497000.0
291,Rath Sarem,Cambodia,716812326.0,Stub,15497000.0
292,Kong Vibol,Cambodia,726543264.0,Stub,15497000.0
293,Monh Saphan,Cambodia,726543284.0,Stub,15497000.0
294,Uk Rabun,Cambodia,726543336.0,Stub,15497000.0
295,Ay Khorn,Cambodia,726543872.0,Stub,15497000.0
296,Oung Ouen,Cambodia,726688556.0,Stub,15497000.0
297,List of Deputy Prime Ministers of Cambodia,Cambodia,730617957.0,Stub,15497000.0
298,Cambodian People's Party–FUNCINPEC coalition agreement,Cambodia,732331264.0,Stub,15497000.0
299,Chuop Hell,Cambodia,735512767.0,Stub,15497000.0
300,Kong Korm,Cambodia,736093077.0,Stub,15497000.0
301,Chan Nak,Cambodia,736538934.0,Stub,15497000.0
302,Huy Kanthoul,Cambodia,736539294.0,Stub,15497000.0
303,Vorn Vet,Cambodia,736715950.0,Stub,15497000.0
304,Yat Hwaidi,Cambodia,737025619.0,Stub,15497000.0
305,Khim Tit,Cambodia,737804996.0,Stub,15497000.0
306,Son Chhay,Cambodia,738180794.0,Start,15497000.0
307,Kep Chuktema,Cambodia,738478052.0,Start,15497000.0
308,Nuth Rumduol,Cambodia,738512371.0,Stub,15497000.0
309,Khieu Thavika,Cambodia,738804016.0,Stub,15497000.0
310,Norodom Phurissara,Cambodia,738987957.0,Start,15497000.0
311,Daran Kravanh,Cambodia,738989624.0,Stub,15497000.0
312,Sisowath Monireth,Cambodia,738992094.0,Start,15497000.0
313,Sisowath Youtevong,Cambodia,738992441.0,Stub,15497000.0
314,Ou Chanrith,Cambodia,739217591.0,Stub,15497000.0
315,Yem Ponhearith,Cambodia,741680078.0,Stub,15497000.0
316,Chrea Sochenda,Cambodia,741923960.0,Stub,15497000.0
317,Vong Kan,Cambodia,742006559.0,Stub,15497000.0
318,Yos Son,Cambodia,742067282.0,Stub,15497000.0
319,Hun Many,Cambodia,744291790.0,Stub,15497000.0
320,Chhean Vam,Cambodia,747052284.0,Stub,15497000.0
321,Oum Chheang Sun,Cambodia,747052769.0,Stub,15497000.0
322,Norodom Kantol,Cambodia,747053219.0,Stub,15497000.0
323,Khieu Rada,Cambodia,747555899.0,Start,15497000.0
324,Ieu Koeus,Cambodia,747628491.0,Stub,15497000.0
325,Cheng Heng,Cambodia,747784875.0,Start,15497000.0
326,Mok Mareth,Cambodia,747945224.0,Start,15497000.0
327,Kieng Vang,Cambodia,748137241.0,Stub,15497000.0
328,Sisowath Watchayavong,Cambodia,748488170.0,Stub,15497000.0
329,Sokhom So,Cambodia,749156496.0,Stub,15497000.0
330,Min Sean,Cambodia,749304614.0,Stub,15497000.0
331,Y Chhean,Cambodia,749338398.0,Stub,15497000.0
332,Poa Bun Sreu,Cambodia,749357713.0,Stub,15497000.0
333,Toan Vanthara,Cambodia,749387326.0,Stub,15497000.0
334,Sok Soty,Cambodia,749388858.0,Stub,15497000.0
335,Pal Sam Oeun,Cambodia,749396845.0,Stub,15497000.0
336,Ngor Sovann,Cambodia,749470256.0,Stub,15497000.0
337,Kea Sahorn,Cambodia,749510551.0,Stub,15497000.0
338,Suos Kanan,Cambodia,749517390.0,Stub,15497000.0
339,Im Chhun Lim,Cambodia,749537624.0,Stub,15497000.0
340,Tram Iv Teuk,Cambodia,749537772.0,Stub,15497000.0
341,Hem Khorn,Cambodia,749561164.0,Stub,15497000.0
342,Um Nhanh,Cambodia,749569686.0,Stub,15497000.0
343,Poa Try,Cambodia,749570183.0,Stub,15497000.0
344,Yim Chhaily,Cambodia,749683882.0,Stub,15497000.0
345,Ith Prang,Cambodia,749704384.0,Stub,15497000.0
346,Try Chheang Huot,Cambodia,749710492.0,Stub,15497000.0
347,Suk Sam Eng,Cambodia,749945690.0,Stub,15497000.0
348,Nim Thot,Cambodia,749967879.0,Stub,15497000.0
349,Ngin Khorn,Cambodia,749970189.0,Stub,15497000.0
350,Sorn Inthor,Cambodia,749977252.0,Stub,15497000.0
351,You Hockry,Cambodia,750055098.0,Stub,15497000.0
